Store ID;lat;long
1;45.037773;41.945913
2;57.585188;39.841665
3;45.021525;41.952761
4;45.050979;41.985436
5;57.698559;39.764303
6;55.186927;61.300372
7;45.029446;41.978952
8;55.17589;61.397331
9;45.022896;39.093757
10;56.861986;60.651121
11;56.833279;60.566501
12;45.05027;41.985792
13;56.834366;60.688999
14;55.193804;61.481248
15;55.244931;61.397068
16;45.00681;41.916134
17;55.193554;61.341483
18;55.194499;61.361207
19;55.185655;61.333323
20;45.0247;39.0458
21;51.665239;39.19037
22;51.679861;39.184152
23;45.026673;41.936693
24;45.104594;39.013
25;57.698713;39.764059
26;55.131744;61.441766
27;45.021105;39.019183
28;57.561305;39.923205
29;56.840864;60.683514
30;55.118655;61.424325
31;55.104745;61.488612
32;45.068014;38.914004
33;45.046336;38.937127
34;51.552257;39.091632
35;51.661311;39.28352
36;51.662809;39.169278
37;45.038852;38.91325
38;45.087156;39.002731
39;55.174888;61.416238
40;56.8533;60.571354
41;55.189454;61.33087
42;57.570149;39.876391
43;56.856488;60.650423
44;56.758512;60.699628
45;55.175888;61.308788
46;45.046456;39.028036
47;55.176567;61.427349
48;45.086;38.9025
49;51.561529;39.115198
50;56.7927;60.630324
51;56.814605;60.614274
52;56.771987;60.585787
53;51.676223;39.290863
54;51.741625;39.310726
55;51.71348;39.186017
56;51.65366;39.238097
57;55.186012;61.434232
58;55.248325;61.390008
59;51.681742;39.254598
60;55.113522;61.458838
61;56.804092;60.558002
62;56.79334;60.60781
63;45.021355;39.013528
64;57.587541;39.90656
65;45.094949;39.01701
66;55.194229;61.351783
67;51.691463;39.279328
68;56.781268;60.66962
69;55.179021;61.322307
70;45.059578;38.952023
71;57.630812;39.851738
72;55.170941;61.536719
73;51.685364;39.128321
74;55.188929;61.475904
75;55.188938;61.360531
76;56.834043;60.690137
77;51.646791;39.126132
78;55.178161;61.297546
79;45.049795;39.03012
80;45.008684;41.923039
81;45.073339;41.934375
82;55.24083;61.374779
83;51.614428;39.248819
84;56.774309;60.592175
85;57.697795;39.797759
86;55.209068;61.293419
87;56.848503;60.609052
88;57.687037;39.774595
89;45.0214;41.9105
90;57.6495;39.9511
91;45.017398;41.897438
92;55.122173;61.514519
93;55.178268;61.457917
94;45.054665;38.946555
95;45.094017;39.008755
96;56.759863;60.819252
97;51.618045;39.24216
98;51.6726;39.163843
99;56.855418;60.653896
100;51.732614;39.278197
101;45.026136;39.018123
102;57.719559;39.82696
103;51.632902;39.284886
104;55.14093;61.423635
105;56.900718;60.627782
106;57.686905;39.80546
107;57.589866;39.860265
108;57.63509;39.880621
109;55.16293;61.411927
110;51.651574;39.120297
111;56.890379;60.632376
112;55.173295;61.551408
113;56.780444;60.59609
114;55.189382;61.276489
115;56.753719;60.699968
116;57.552523;39.932519
117;51.730959;39.180433
118;56.839376;60.646162
119;55.178045;61.354679
120;45.093505;39.003197
121;56.812098;60.60038
122;51.687783;39.324815
123;56.778787;60.64172
124;55.209871;61.278168
125;51.647628;39.185043
126;57.602809;39.818976
127;51.702985;39.138571
128;57.637891;39.822175
129;51.687077;39.197177
130;57.68479;39.78231
131;51.712652;39.194029
132;45.069111;38.953017
133;51.68363;39.216108
134;55.144787;61.387405
135;56.865692;60.531421
136;45.145847;39.051412
137;45.073865;38.902925
138;56.905334;60.630885
139;55.191558;61.377337
140;45.0504;41.986
141;45.052495;38.959099
142;56.896054;60.605451
143;56.893886;60.635617
144;45.036527;39.087504
145;56.83644;60.624272
146;55.111947;61.334533
147;45.088677;38.985224
148;51.644675;39.169028
149;56.844491;60.630397
150;56.833417;60.658453
151;51.655028;39.152216
152;55.163279;61.421778
153;57.684318;39.812215
154;45.013377;41.930952
155;51.633904;39.186597
156;55.194415;61.357144
157;56.844919;60.64054
158;56.787339;60.53332
159;56.828091;60.683698
160;56.902024;60.604729
161;45.020271;39.025687
162;56.856216;60.641491
163;45.077644;38.89671
164;56.851306;60.635827
165;57.610024;39.972526
166;56.892866;60.584251
167;45.09837;39.006244
168;51.684216;39.267814
169;56.778604;60.604309
170;51.651187;39.126437
171;45.07718;41.937491
172;56.887483;60.490741
173;56.850984;60.600279
174;51.703421;39.165117
175;56.832227;60.661693
176;56.817418;60.607249
177;45.00455;39.033619
178;45.065637;39.022102
179;56.820366;60.606084
180;56.894885;60.62119
181;56.885256;60.518605
182;56.76695;60.608808
183;56.748887;60.680779
184;55.195159;61.410468
185;56.845783;60.625243
186;56.896681;60.596414
187;56.88702;60.61907
188;55.180146;61.296584
189;56.849616;60.661285
190;56.833305;60.651252
191;57.586082;39.906887
192;55.245494;61.396591
193;56.804677;60.61405
194;45.023775;38.992264
195;56.800499;60.630546
196;55.035963;61.369678
197;51.715693;39.15743
198;56.813554;60.558883
199;56.884076;60.633373
200;45.031644;38.909283
201;55.140474;61.432586
202;56.860464;60.614989
203;56.807587;60.719274
204;45.070944;38.947304
205;55.131563;61.451184
206;57.695998;39.776259
207;51.611927;39.237717
208;55.250533;61.396891
209;56.833756;60.635412
210;55.162532;61.44913
211;55.147361;61.375209
212;57.722563;39.823986
213;56.862605;60.564655
214;55.08445;61.334728
215;51.648461;39.159444
216;51.72325;39.15721
217;45.065906;39.025095
218;45.055906;38.887601
219;51.723456;39.263721
220;51.650653;39.179606
221;45.002612;39.083058
222;45.029059;41.975911
223;55.209396;61.275714
224;45.06054;39.009849
225;57.572685;39.925722
226;57.724812;39.75332
227;45.023121;39.094436
228;51.687527;39.107514
229;55.185171;61.41997
230;56.89909;60.610306
231;51.686522;39.218144
232;56.895393;60.600039
233;55.234846;61.303324
234;55.114477;61.347356
235;55.108521;61.479203
236;45.109809;39.01803
237;45.038578;39.004356
238;55.1774;61.488692
239;57.629341;39.883246
240;45.141565;38.994937
241;45.058841;39.136487
242;55.194958;61.314
243;57.647381;39.957964
244;56.864;60.651639
245;51.879392;39.587955
246;57.686217;39.766788
247;57.582668;39.83796
248;56.801748;60.4951
249;56.888131;60.591225
250;51.588803;39.245321
251;51.755123;39.183984
252;56.908092;60.602042
253;55.121389;61.51155
254;45.075729;42.004193
255;55.12902;61.422243
256;55.169721;61.44356
257;55.160592;61.458378
258;55.157423;61.395089
259;55.209209;61.285708
260;56.802928;60.551687
261;56.836558;60.545479
262;55.194122;61.481037
263;56.878799;60.522871
264;55.193994;61.342265
265;44.992108;39.064341
266;57.706562;39.772497
267;45.005259;39.108388
268;56.807404;60.603097
269;51.679098;39.248958
270;55.169108;61.416207
271;56.824231;60.550107
272;56.828784;60.562611
273;56.857081;60.657464
274;45.043258;38.962637
275;55.168792;61.527541
276;45.048649;38.974852
277;51.657297;39.145204
278;56.833053;60.675693
279;57.584541;39.855807
280;51.739284;39.267438
281;56.860826;60.643342
282;56.826189;60.588323
283;44.996592;39.074603
284;51.67311;39.291278
285;51.646948;39.238915
286;51.598927;39.241592
287;55.145082;61.399852
288;55.160405;61.382289
289;45.005377;39.069228
290;55.243087;61.407727
291;45.094811;39.006373
292;55.177682;61.259862
293;51.705634;39.16
294;55.16896;61.281363
295;56.908316;60.590629
296;51.652157;39.243936
297;56.794288;60.769829
298;57.605916;39.821242
299;51.703713;39.190112
300;45.09728;38.984031
301;57.65177;39.948955
302;55.138406;61.443421
303;51.710448;39.170272
304;51.712163;39.154254
305;57.607627;39.812549
306;51.615276;39.236776
307;51.649108;39.191017
308;45.126551;39.01192
309;45.021786;38.98454
310;57.627798;39.858812
311;51.670203;39.186848
312;56.78678;60.783749
313;45.039279;39.018765
314;51.702802;39.189148
315;45.042573;41.986899
316;55.24154;61.385121
317;55.178871;61.315175
318;56.885533;60.596135
319;44.99712;41.917506
320;56.78621;60.607308
321;55.147249;61.397426
322;45.050858;42.005131
323;45.01473;41.909247
324;51.639537;39.236407
325;55.148798;61.37302
326;57.642168;39.949079
327;45.01892;41.915256
328;57.689876;39.807279
329;45.05937;39.02801
330;55.191553;61.377343
331;45.016763;41.918908
332;45.087;39.0027
333;57.610903;39.861848
334;56.774188;60.592048
335;45.020156;39.009727
336;55.181827;61.387487
337;55.187658;61.404262
338;56.885919;60.583409
339;51.658341;39.147141
340;56.797446;60.637074
341;56.795318;60.575023
342;56.803933;60.557907
343;55.171185;61.442421
344;56.8508;60.6305
345;44.984556;41.921392
346;55.16369;61.430919
347;56.790846;60.524561
348;51.695837;39.183254
349;56.833926;60.544732
350;56.801818;60.574214
351;56.842494;60.617602
352;56.844865;60.577705
353;56.844407;60.615402
354;56.8164;60.5618
355;55.172643;61.452241
356;57.651842;39.962066
357;45.004797;39.034724
358;56.8538;60.571511
359;56.819682;60.591453
360;55.252771;61.369178
361;57.646003;39.905664
362;57.657737;39.84296
363;55.178267;61.365724
364;45.052188;39.017183
365;45.022162;38.971486
366;55.263502;61.40373
367;51.680692;39.254977
368;55.179076;61.309253
369;55.163433;61.414887
370;55.175204;61.301587
371;56.810147;60.514455
372;55.155599;61.414594
373;57.679645;39.791998
374;51.668518;39.186664
375;55.137836;61.376152
376;56.836726;60.558251
377;56.793056;60.615739
378;56.822596;60.546091
379;56.796309;60.515085
380;56.861719;60.646051
381;56.842881;60.639788
382;56.836468;60.55364
383;55.120662;61.471134
384;55.13847;61.443418
385;55.13322;61.432459
386;55.139905;61.438347
387;55.195002;61.343138
388;45.024095;39.066603
389;55.156776;61.417167
390;55.180588;61.461573
391;55.232643;61.366378
392;55.13059;61.465283
393;55.2299;61.3736
394;55.10498;61.381767
395;56.768966;60.610757
396;56.846261;60.617505
397;55.182176;61.332054
398;55.176738;61.438792
399;56.884984;60.577744
